,timestamp,open,high,low,close
0,2021-07-19,87.41,88.3457,87.3792,88.0992
1,2021-07-16,87.8069,87.919,87.3014,87.391
2,2021-07-15,87.6482,88.046,87.4309,87.8069
3,2021-07-14,87.515,87.8247,87.2428,87.6482
4,2021-07-13,88.254,88.288,87.359,87.5187
5,2021-07-12,88.0832,88.7775,87.982,88.1929
6,2021-07-09,88.398,88.398,87.8982,88.1797
7,2021-07-08,87.9012,88.8938,87.7946,88.5475
8,2021-07-07,87.9988,88.2393,87.5105,88.028
9,2021-07-06,87.0744,88.3638,86.7131,88.074
10,2021-07-05,86.8321,87.2834,86.652,87.0447
11,2021-07-02,86.9547,87.1985,86.6518,86.877
12,2021-07-01,86.628,87.154,86.1881,86.9526
13,2021-06-30,86.53,87.0542,86.3769,86.6646
14,2021-06-29,86.0833,86.7436,85.8224,86.5227
15,2021-06-28,86.152,86.298,85.9107,86.0581
16,2021-06-25,86.3881,86.4484,86.0078,86.196
17,2021-06-24,86.587,86.673,85.995,86.3845
18,2021-06-23,86.9691,87.052,86.4805,86.576
19,2021-06-22,87.0922,87.299,86.8704,86.937
20,2021-06-21,86.3455,87.2577,86.164,87.0809
21,2021-06-18,86.0417,86.5052,85.7018,86.236
22,2021-06-17,86.9432,87.1419,85.9453,86.0384
23,2021-06-16,87.5091,87.627,86.7693,86.9487
24,2021-06-15,87.3625,87.7022,86.9534,87.4839
25,2021-06-14,87.1025,87.6426,87.0405,87.3589
26,2021-06-11,87.4219,87.7215,86.878,87.15
27,2021-06-10,88.0955,88.19,87.2532,87.4039
28,2021-06-09,87.8838,88.1873,87.6328,88.065
29,2021-06-08,88.7247,88.7861,87.8474,87.932
30,2021-06-07,88.7362,88.8911,88.4168,88.6607
31,2021-06-04,88.7707,89.007,88.4682,88.633
32,2021-06-03,89.2263,89.37,88.527,88.844
33,2021-06-02,89.7827,89.997,89.1425,89.226
34,2021-06-01,89.7215,90.144,89.3694,89.841
35,2021-05-31,89.1538,89.821,89.035,89.812
36,2021-05-28,89.57,89.7049,88.9769,89.197
37,2021-05-27,89.6002,89.817,89.3593,89.614
38,2021-05-26,90.0849,90.1476,89.362,89.5323
39,2021-05-25,89.6557,90.129,89.6281,90.129
40,2021-05-24,89.5833,90.165,89.4728,89.6557
41,2021-05-21,89.59,90.0635,89.3069,89.649
42,2021-05-20,89.6996,90.104,89.602,89.874
43,2021-05-19,90.0243,90.278,89.6432,89.6885
44,2021-05-18,89.6815,90.512,89.6149,90.0295
45,2021-05-17,89.7937,90.1249,89.5107,89.6778
46,2021-05-14,89.3758,89.949,89.2475,89.719
47,2021-05-13,90.1397,90.232,89.1245,89.3883
48,2021-05-12,90.0126,90.216,89.6392,90.1397
49,2021-05-11,90.1066,90.3542,89.767,90.0719
50,2021-05-10,89.6059,90.275,89.2407,90.1029
51,2021-05-07,89.5257,90.265,89.309,89.493
52,2021-05-06,89.7316,89.947,89.267,89.522
53,2021-05-05,89.7786,90.339,89.3855,89.7354
54,2021-05-04,90.3819,90.6113,89.713,89.7782
55,2021-05-03,90.3976,91.381,90.101,90.3819
56,2021-04-30,90.7808,90.854,90.1641,90.396
57,2021-04-29,90.1082,90.875,89.8887,90.7659
58,2021-04-28,90.6022,91.0283,89.9282,90.163
59,2021-04-27,90.4846,90.71,90.236,90.5947
60,2021-04-26,90.5956,91.7,90.2253,90.4846
61,2021-04-23,91.0316,91.0316,89.9835,90.407
62,2021-04-22,92.0645,92.3419,90.3343,90.635
63,2021-04-21,92.5847,92.9371,91.6274,92.188
64,2021-04-20,91.9298,92.7246,91.5926,92.5194
65,2021-04-19,90.8409,91.998,90.5734,91.9298
66,2021-04-16,92.0002,92.0063,90.0964,90.817
67,2021-04-15,90.8407,92.8084,90.709,91.9733
68,2021-04-14,90.667,90.9668,90.2461,90.8255
69,2021-04-13,92.0356,92.1624,90.5008,90.821
70,2021-04-12,92.0436,92.412,91.6496,92.0356
71,2021-04-09,91.4481,92.199,91.246,92.138
72,2021-04-08,91.3103,91.8905,91.0388,91.4519
73,2021-04-07,91.5625,92.7116,91.1659,91.375
74,2021-04-06,90.1582,91.846,89.7503,91.5355
75,2021-04-05,89.971,90.31,89.4987,90.1544
76,2021-04-02,89.843,90.587,89.4093,89.727
77,2021-04-01,88.718,90.0008,88.5613,89.702
78,2021-03-31,88.8478,89.1,88.1664,88.7255
79,2021-03-30,88.9889,89.2562,88.628,88.8478
80,2021-03-29,89.1427,89.5915,88.8171,88.9609
81,2021-03-26,89.62,89.7276,89.0161,89.659
82,2021-03-25,90.4053,90.613,89.4155,89.734
83,2021-03-24,89.946,91.1324,89.5854,90.3972
84,2021-03-23,89.2136,90.7734,89.097,90.345
85,2021-03-22,88.564,89.581,88.134,89.354
86,2021-03-19,88.432,88.749,87.6703,88.166
87,2021-03-18,88.241,88.63,87.8318,88.435
88,2021-03-17,86.6269,88.3278,86.5936,87.926
89,2021-03-16,86.7015,87.1121,86.352,86.5946
90,2021-03-15,87.728,87.813,86.6338,86.7008
91,2021-03-12,87.751,87.9693,87.424,87.4834
92,2021-03-11,87.479,88.363,87.479,87.831
93,2021-03-10,88.018,88.559,87.5408,87.813
94,2021-03-09,88.445,88.482,87.7675,88.206
95,2021-03-08,88.332,88.8,87.833,88.0644
96,2021-03-05,88.993,89.406,88.275,88.563
97,2021-03-04,89.269,89.709,88.3151,89.2187
98,2021-03-03,89.24,89.378,88.7039,89.214
99,2021-03-02,89.371,89.7116,88.4761,89.137
100,2021-03-01,90.216,90.2623,88.9343,89.496
101,2021-02-26,90.88,90.882,89.53,89.969
102,2021-02-25,89.2885,91.069,89.2291,90.869
103,2021-02-24,89.801,90.159,89.2238,89.2982
104,2021-02-23,90.33,90.37,89.555,89.863
105,2021-02-22,89.638,91.0116,89.428,90.3735
106,2021-02-19,89.335,90.0443,89.1745,89.648
107,2021-02-18,88.624,89.5114,88.5228,89.2802
108,2021-02-17,89.0426,89.3361,88.5136,88.6735
109,2021-02-16,88.8299,89.4701,88.7364,89.0464
110,2021-02-15,89.2229,89.369,88.7206,88.8368
111,2021-02-12,89.2411,90.1081,89.04,89.04
112,2021-02-11,89.3854,89.5802,89.1964,89.2483
113,2021-02-10,89.533,89.7267,89.2716,89.395
114,2021-02-09,89.525,89.763,89.2216,89.4345
115,2021-02-08,89.7378,90.022,89.2084,89.4668
116,2021-02-05,90.369,90.454,89.4041,90.003
117,2021-02-04,91.167,91.474,90.193,90.359
118,2021-02-03,91.6579,91.888,91.033,91.118
119,2021-02-02,91.696,91.864,90.6676,91.75
120,2021-02-01,91.8841,92.138,91.1354,91.672
121,2021-01-29,91.755,92.4189,91.3394,92.177
122,2021-01-28,91.705,92.4871,91.5204,92.212
123,2021-01-27,91.333,91.917,90.899,91.7361
124,2021-01-26,91.4123,91.815,91.0768,91.276
125,2021-01-25,91.74,91.9565,90.7965,91.4009
126,2021-01-22,89.827,91.693,89.733,91.455
127,2021-01-21,88.937,89.9221,88.631,89.773
128,2021-01-20,89.465,89.603,88.7722,88.897
129,2021-01-19,89.235,89.903,88.9992,89.345
130,2021-01-18,89.079,89.6583,88.678,89.167
131,2021-01-15,89.026,89.3947,88.534,88.599
132,2021-01-14,89.716,90.283,88.7456,88.9061
133,2021-01-13,89.6217,90.0501,89.3617,89.6461
134,2021-01-12,90.534,90.801,89.3336,89.6451
135,2021-01-11,90.433,91.072,90.012,90.6696
136,2021-01-08,91.642,91.656,90.1888,90.432
137,2021-01-07,91.391,91.9177,90.495,91.389
138,2021-01-06,91.107,91.352,90.5205,90.931
139,2021-01-05,91.222,92.356,90.6328,91.103
140,2021-01-04,90.325,91.187,89.7372,91.01
141,2021-01-01,90.324,90.324,90.162,90.162
142,2020-12-31,91.257,92.441,90.259,90.435
143,2020-12-30,90.233,92.138,90.054,91.263
144,2020-12-29,90.583,90.817,89.8292,90.499
145,2020-12-28,90.2081,90.603,89.7884,89.907
146,2020-12-25,89.968,90.532,89.648,90.235
147,2020-12-24,91.246,91.795,89.82,89.968
148,2020-12-23,92.358,92.499,91.0853,91.244
149,2020-12-22,91.342,92.396,91.109,92.265
150,2020-12-21,90.374,91.856,89.915,91.469
151,2020-12-18,89.571,90.5131,89.202,89.698
152,2020-12-17,89.471,89.5642,88.769,89.417
153,2020-12-16,89.028,89.849,88.7784,89.232
154,2020-12-15,89.637,89.881,88.8185,89.004
155,2020-12-14,88.653,89.9173,88.34,89.461
156,2020-12-11,88.5376,88.9507,88.2309,88.374
157,2020-12-10,88.905,89.3089,88.3829,88.6201
158,2020-12-09,88.812,89.4599,88.585,88.928
159,2020-12-08,89.1602,89.504,88.504,88.742
160,2020-12-07,90.015,90.1149,88.9321,89.1698
161,2020-12-04,90.234,90.652,89.5871,89.943
162,2020-12-03,90.8013,91.3502,90.1405,90.415
163,2020-12-02,91.3293,91.842,90.7164,90.8313
164,2020-12-01,90.9836,91.5308,90.6489,91.3709
165,2020-11-30,90.979,91.5619,90.628,91.1003
166,2020-11-27,90.0418,90.9768,89.9649,90.966
167,2020-11-26,89.7966,90.2212,89.7966,90.0922
168,2020-11-25,89.5994,90.4267,89.5994,89.9543
169,2020-11-24,90.013,90.443,89.4735,89.6573
170,2020-11-23,90.326,90.595,89.6669,90.086
171,2020-11-20,90.311,90.933,90.0231,90.2404
172,2020-11-19,89.943,90.5659,89.7398,90.281
173,2020-11-18,90.42,90.657,89.6939,89.9259
